alpha,beta,test_acc,hard_acc,mean_logit_diff
0.0,0.0,0.9633333333333334,0.78,3.553744087219238
0.0,1.0,0.9866666666666667,0.92,6.4816875076293945
0.0,2.0,0.9933333333333333,0.96,9.55309627532959
0.0,3.0,0.9966666666666667,0.98,10.82315823872884
0.0,4.0,0.9933333333333333,0.96,10.870671208699545
0.0,5.0,0.9933333333333333,0.96,10.38673215230306
0.5,0.0,0.8266666666666667,0.18,2.115950113932292
0.5,1.0,0.9766666666666667,0.86,5.140295842488607
0.5,2.0,0.9866666666666667,0.92,9.133744773864747
0.5,3.0,0.9933333333333333,0.96,11.290123443603516
0.5,4.0,0.9933333333333333,0.96,11.895040181477865
0.5,5.0,0.9933333333333333,0.96,11.609863154093425
1.0,0.0,0.48,0.02,0.06276529947916666
1.0,1.0,0.8866666666666667,0.5,2.975144246419271
1.0,2.0,0.98,0.88,7.7767117436726885
1.0,3.0,0.9866666666666667,0.92,11.020908381144206
1.0,4.0,0.9866666666666667,0.92,12.33292510986328
1.0,5.0,0.9933333333333333,0.96,12.411965154012044
1.5,0.0,0.26666666666666666,0.02,-1.503432871500651
1.5,1.0,0.5533333333333333,0.08,0.7187429555257161
1.5,2.0,0.93,0.68,5.534451446533203
1.5,3.0,0.98,0.88,9.88423215230306
1.5,4.0,0.9866666666666667,0.92,12.127600631713868
1.5,5.0,0.9866666666666667,0.92,12.700588963826497
2.0,0.0,0.22,0.0,-2.0761025238037107
2.0,1.0,0.37333333333333335,0.02,-0.9076693725585937
2.0,2.0,0.77,0.38,2.9165631103515626
2.0,3.0,0.9466666666666667,0.72,7.845585912068685
2.0,4.0,0.9733333333333334,0.86,11.158159255981445
2.0,5.0,0.9833333333333333,0.9,12.436458587646484
